FUND_ID,FUND_NAME,PARENT_COMPANY_ID,PARENT_COMPANY_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,ACTUARIAL_ADJUSTMENT,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
"1560","מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202401","2015-12-31T00:00:00","0.14","0.03","0.81","0.92","16.85","0.1","1.39","0.48","0.48","","11.45","23.6","3.68","4.33","4.4","1.56","0.63","97.1","2.75","11.04","11.29","512065202","2026-07-06T00:00:00"
"1560","מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202402","2015-12-31T00:00:00","0.14","0.01","-0.16","-0.03","16.65","0.1","1.39","-1.04","-0.56","","10.46","21.41","3.37","3.96","4.43","1.08","0.48","97","2.8","10.86","11.1","512065202","2026-07-06T00:00:00"
"1560","מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202403","2015-12-31T00:00:00","0.17","0.01","0.1","0.26","17.45","0.1","1.39","3.17","2.59","0.12","13.04","24.03","4.17","4.4","4.61","1.2","0.64","97.1","2.91","12.14","12.28","512065202","2026-07-06T00:00:00"
"1560","מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202404","2015-12-31T00:00:00","0.1","0.01","-0.11","-0.02","17.47","0.1","1.39","0.27","2.86","","12.08","23.18","3.87","4.26","4.61","1.32","0.6","96.9","2.95","11.76","12.14","512065202","2026-07-06T00:00:00"
"1560","מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202405","2015-12-31T00:00:00","0.09","0.06","1.56","1.59","19.21","0.1","1.39","0.82","3.71","","12.32","24.37","3.95","4.46","4.61","1.32","0.64","97.1","3.33","13.07","13.46","512065202","2026-07-06T00:00:00"
"1560","מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202406","2015-12-31T00:00:00","0.18","0.02","2.13","2.29","21.94","0.1","1.39","2.24","6.03","0.07","13.82","25.28","4.41","4.61","4.64","1.44","0.73","97.2","3.56","15.31","14.51","512065202","2026-07-06T00:00:00"
"1589","מיטב פנסיה מקיפה עוקב מדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202401","2015-12-31T00:00:00","5.94","0.23","88","93.71","611.4","0.1","1.39","1.75","1.75","","40.54","67.11","12.01","10.82","11.47","4.56","0.95","96.5","412.32","416.06","2.27","512065202","2026-07-06T00:00:00"
"1589","מיטב פנסיה מקיפה עוקב מדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202402","2015-12-31T00:00:00","10.68","0.51","102.81","112.98","744.85","0.1","1.39","3.17","4.98","","43.05","69.84","12.68","11.18","11.54","4.8","1","95.5","508.99","514.21","21.09","512065202","2026-07-06T00:00:00"
"1589","מיטב פנסיה מקיפה עוקב מדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202403","2015-12-31T00:00:00","8.57","0.24","122.66","130.99","885.61","0.1","1.39","1.22","6.26","0.12","42.88","71.26","12.63","11.36","11.54","4.92","1.02","97.1","602.15","603.3","27.83","512065202","2026-07-06T00:00:00"
"1589","מיטב פנסיה מקיפה עוקב מדדי מניות","163","מיטב פנסיה מקיפה","קרנות חדשות","מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ","202404","2015-12-31T00:00:00","7.95","0.69","84.14","91.4","951.96","0.1","1.39","-2.68","3.41","","34.67","62.48","10.43","10.19","11.6","4.68","0.87","96","647.68","641.83","26.49","512065202","2026-07-06T00:00:00"
